numeroControlePNCP,cnpj_orgao,razao_social,municipio_nome,uf,dataPublicacaoPncp,ano_compra,objetoCompra,modalidade_id,modalidade_nome,situacao_id,situacao_nome,valorTotalEstimado,ramo_mei,data_coleta
10404184000109-1-000378/2026,10404184000109,MUNICIPIO DE OLINDA,Olinda,PE,2026-05-18T14:32:09,2026,Contratacao de empresa especializada para o fornecimento de papel sulfite branco tamanho A4  210 mm x 297 mm   gramatura minima de 75 g m   resma com 500 folhas,8,Dispensa,1,Divulgada no PNCP,9300.0,Compras,2026-05-19 16:00:48.567420
10565000000192-1-000449/2026,10565000000192,MUNICIPIO DO RECIFE,Recife,PE,2026-05-18T09:00:32,2026,"AQUISIÇÃO CAFETEIRA ELÉTRICA CILINDRICA EM AÇO INOX COM TEMOSTATO COM BASE EM INOX COM DUAS TORNEIRAS MONOFÁSICA 220V ACOMPANHADA TAMPA, SACO COADOR E ARO COADOR",8,Dispensa,1,Divulgada no PNCP,2579.64,Compras,2026-05-19 16:00:48.567420
10565000000192-1-000451/2026,10565000000192,MUNICIPIO DO RECIFE,Recife,PE,2026-05-18T12:12:01,2026,AQUISIÇÃO DE NOTEBOOKS,8,Dispensa,1,Divulgada no PNCP,57323.0,Compras,2026-05-19 16:00:48.567420
10572048000128-1-000552/2026,10572048000128,SECRETARIA DE SAUDE,Caruaru,PE,2026-05-18T08:48:19,2026,XI GERES - SERVIÇOS DE HOTELARIA (HOSPEDAGEM E ALIMENTAÇÃO) PARA ATENDER AS NECESSIDADES DO CURSO CAMINHOS PARA A EQUIDADE NO DIA 02.06.2026 NO ÂMBITO DA XI GERES - SEDE III MACROREGIÃO DE SAÚDE.,8,Dispensa,1,Divulgada no PNCP,25288.69,Serviços,2026-05-19 16:00:48.567420
10572048000128-1-000553/2026,10572048000128,SECRETARIA DE SAUDE,Caruaru,PE,2026-05-18T09:43:20,2026,"V GERES GARANHUNS - AQUISIÇÃO DE FAIXA EM LONA DE METALON GALVANIZADO MEDINDO 2,20MX0,70M PARA ATENDER AS NECESSIDADES DA V GERES.",8,Dispensa,1,Divulgada no PNCP,2160.0,Compras,2026-05-19 16:00:48.567420
10572048000128-1-000554/2026,10572048000128,SECRETARIA DE SAUDE,Afogados da Ingazeira,PE,2026-05-18T11:28:25,2026,AQUISIÇÃO DE AGUA E COPOS POR UM PERIODO DE 2 MESES PARA VII GERES/VIG EM SAÚDE,8,Dispensa,1,Divulgada no PNCP,3132.33,Compras,2026-05-19 16:00:48.567420
10572048000128-1-000555/2026,10572048000128,SECRETARIA DE SAUDE,Caruaru,PE,2026-05-18T13:43:24,2026,"VI GERES – CONTRATAÇÃO DE SERVIÇO DE INSTALAÇÃO E REFORMA DE MOBILIÁRIOS, COMO ARMÁRIO, MESA, GAVETEIRO E PORTA.",8,Dispensa,1,Divulgada no PNCP,5777.86,Obras,2026-05-19 16:00:48.567420
10572048000128-1-000556/2026,10572048000128,SECRETARIA DE SAUDE,Caruaru,PE,2026-05-18T13:48:25,2026,"VI GERES – AQUISIÇÃO DE BOLSAS, EM TECIDO, IMPRESSÃO FRENTE, COM ZÍPER, PARA ATENDER AO I FÓRUM REGIONAL DE REGULAÇÃO DA VI GERES.",8,Dispensa,1,Divulgada no PNCP,1400.0,Compras,2026-05-19 16:00:48.567420
10572048000128-1-000557/2026,10572048000128,SECRETARIA DE SAUDE,Recife,PE,2026-05-18T14:18:30,2026,"Fornecimento de KITS REAGENTES UTILIZADOS NO DIAGNÓSTICO SOROLÓGICO DA DOENÇA DE CHAGAS, por meio de Dispensa Eletrônica de licitação com fundamento no art. 75, inc. II da Lei nº 14.133/21, visando at",8,Dispensa,1,Divulgada no PNCP,6595.81,Compras,2026-05-19 16:00:48.567420
10572048000209-1-000294/2026,10572048000209,SECRETARIA DE SAUDE,Recife,PE,2026-05-18T08:03:18,2026,"AQUISIÇÃO EMERGENCIAL PARA DEPÓSITO PLÁSTICO (56X28X20 - CXLXH) 50L COM TAMPA, DEPÓSITO PLÁSTICO (31X40X8 - CXLXH) 10L COM TAMPA, DEPÓSITO PLÁSTICO (35X18X9 - CXLXH) 5L COM TAMPA.",8,Dispensa,1,Divulgada no PNCP,23253.08,Compras,2026-05-19 16:00:48.567420
10572048000470-1-000029/2026,10572048000470,SECRETARIA DE SAUDE,Recife,PE,2026-05-18T15:05:51,2026,Contratação de prestação de serviços de manutenção corretiva em 04 (quatro) videobroncoscópios da marca Olympus.,8,Dispensa,1,Divulgada no PNCP,151339.88,Serviços,2026-05-19 16:00:48.567420
10572048000470-1-000030/2026,10572048000470,SECRETARIA DE SAUDE,Recife,PE,2026-05-18T15:13:27,2026,Contratação para o fornecimento eventual de (CURATIVO PARA FIXAÇÃO DE CATETER PERIFÉRICO).,8,Dispensa,1,Divulgada no PNCP,129150.0,Compras,2026-05-19 16:00:48.567420
10572048000470-1-000031/2026,10572048000470,SECRETARIA DE SAUDE,Recife,PE,2026-05-18T15:23:30,2026,Fornecimento eventual de material de expediente hospitalar (ETIQUETAS COM CODIGO DE BARRA E RIBBON).,8,Dispensa,1,Divulgada no PNCP,4884.2,Compras,2026-05-19 16:00:48.567420
10572048000632-1-000012/2026,10572048000632,SECRETARIA DE SAUDE,Recife,PE,2026-05-18T07:48:19,2026,"SEI 2300002426.000342/2026-70 AQUISIÇÃO DE MATERIAIS MEDICO HOSPITALAR DIVERSOS E ACESSÒRIOS PARA EQUIPAMENTOS MEDICOS OBS: LER DOCUMENTOS EM ANEXO, ( ENTREGA IMEDIATA )",8,Dispensa,1,Divulgada no PNCP,57872.28,Compras,2026-05-19 16:00:48.567420
11022597000515-1-000018/2026,11022597000515,FUNDACAO UNIVERSIDADE DE PERNAMBUCO,Recife,PE,2026-05-18T09:04:00,2026,PRESTAÇÃO DE SERVIÇO DE CÓPIA DE CHAVES,8,Dispensa,1,Divulgada no PNCP,1800.0,Serviços,2026-05-19 16:00:48.567420
11022597000868-1-000009/2026,11022597000868,FUNDACAO UNIVERSIDADE DE PERNAMBUCO,Nazaré da Mata,PE,2026-05-18T10:18:19,2026,Aquisição de fita para rotulador.,8,Dispensa,1,Divulgada no PNCP,1201.33,Compras,2026-05-19 16:00:48.567420
11022597001597-1-000158/2026,11022597001597,FUNDACAO UNIVERSIDADE DE PERNAMBUCO,Recife,PE,2026-05-18T08:28:58,2026,FORNECIMENTO INTEGRAL BOMBA HIDRÁULICA PARA O POÇO,8,Dispensa,1,Divulgada no PNCP,8366.0,Compras,2026-05-19 16:00:48.567420
11022597001597-1-000159/2026,11022597001597,FUNDACAO UNIVERSIDADE DE PERNAMBUCO,Recife,PE,2026-05-18T10:08:21,2026,FORNECIMENTO DE MATERIAL DE CONSUMO HOSPITALAR (MATERIAL PENSO) - SISTEMA DE ASPIRACAO TRAQUEAL FECHADO,8,Dispensa,1,Divulgada no PNCP,578.47,TI,2026-05-19 16:00:48.567420
